Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,0.000007,0.000008,0.000007,0.000008,0.000008,370820478
2021-09-24,0.000008,0.000008,0.000007,0.000007,0.000007,456964069
2021-09-25,0.000007,0.000008,0.000007,0.000007,0.000007,227277343
2021-09-26,0.000007,0.000007,0.000007,0.000007,0.000007,257921523
2021-09-27,0.000007,0.000007,0.000007,0.000007,0.000007,207040951
2021-09-28,0.000007,0.000007,0.000007,0.000007,0.000007,229379215
2021-09-29,0.000007,0.000007,0.000007,0.000007,0.000007,193035725
2021-09-30,0.000007,0.000007,0.000007,0.000007,0.000007,308553065
2021-10-01,0.000007,0.000008,0.000007,0.000008,0.000008,316837935
2021-10-02,0.000008,0.000008,0.000007,0.000008,0.000008,320232218
2021-10-03,0.000008,0.000009,0.000008,0.000009,0.000009,627602337
2021-10-04,0.000009,0.000015,0.000008,0.000013,0.000013,5113996411
2021-10-05,0.000013,0.000020,0.000012,0.000017,0.000017,9382762020
2021-10-06,0.000017,0.000029,0.000017,0.000028,0.000028,15233960302
2021-10-07,0.000028,0.000035,0.000021,0.000023,0.000023,18731843000
2021-10-08,0.000023,0.000029,0.000021,0.000027,0.000027,12326548369
2021-10-09,0.000027,0.000030,0.000024,0.000027,0.000027,6401062357
2021-10-10,0.000027,0.000028,0.000025,0.000026,0.000026,3597266431
2021-10-11,0.000026,0.000032,0.000026,0.000031,0.000031,7321688785
2021-10-12,0.000031,0.000032,0.000027,0.000029,0.000029,4868743619
2021-10-13,0.000029,0.000031,0.000028,0.000029,0.000029,3082220289
2021-10-14,0.000029,0.000030,0.000027,0.000027,0.000027,2727081948
2021-10-15,0.000027,0.000027,0.000023,0.000025,0.000025,4121246428
2021-10-16,0.000025,0.000027,0.000025,0.000026,0.000026,1871226740
2021-10-17,0.000026,0.000029,0.000024,0.000028,0.000028,2304858857
2021-10-18,0.000028,0.000030,0.000026,0.000029,0.000029,3919367323
2021-10-19,0.000029,0.000029,0.000028,0.000028,0.000028,1651861422
2021-10-20,0.000028,0.000029,0.000027,0.000029,0.000029,1676016339
2021-10-21,0.000029,0.000029,0.000027,0.000027,0.000027,1540610794
2021-10-22,0.000027,0.000028,0.000027,0.000028,0.000028,1297177007
2021-10-23,0.000028,0.000035,0.000028,0.000034,0.000034,4703212108
2021-10-24,0.000034,0.000044,0.000034,0.000036,0.000036,15337292521
2021-10-25,0.000036,0.000044,0.000035,0.000042,0.000042,8244210217
2021-10-26,0.000042,0.000049,0.000041,0.000048,0.000048,11176750625
2021-10-27,0.000048,0.000087,0.000047,0.000080,0.000080,39053846018
2021-10-28,0.000079,0.000088,0.000057,0.000068,0.000068,32835212339
2021-10-29,0.000069,0.000077,0.000061,0.000075,0.000075,14287074318
2021-10-30,0.000075,0.000078,0.000062,0.000065,0.000065,8093183339
2021-10-31,0.000065,0.000070,0.000059,0.000067,0.000067,7990702699
2021-11-01,0.000067,0.000075,0.000066,0.000072,0.000072,8120747918
2021-11-02,0.000072,0.000073,0.000067,0.000069,0.000069,5316969434
2021-11-03,0.000069,0.000069,0.000053,0.000055,0.000055,6495261244
2021-11-04,0.000055,0.000061,0.000043,0.000049,0.000049,11486664527
2021-11-05,0.000049,0.000065,0.000046,0.000062,0.000062,12401211699
2021-11-06,0.000063,0.000063,0.000055,0.000059,0.000059,6445477874
2021-11-07,0.000059,0.000060,0.000056,0.000057,0.000057,3123242451
2021-11-08,0.000057,0.000059,0.000053,0.000055,0.000055,4496482335
2021-11-09,0.000055,0.000058,0.000054,0.000055,0.000055,3142625649
2021-11-10,0.000055,0.000055,0.000046,0.000050,0.000050,4318757158
2021-11-11,0.000050,0.000058,0.000049,0.000057,0.000057,5753844727
2021-11-12,0.000057,0.000057,0.000051,0.000052,0.000052,2888701214
2021-11-13,0.000052,0.000053,0.000051,0.000052,0.000052,1678572265
2021-11-14,0.000052,0.000056,0.000052,0.000053,0.000053,2504828825
2021-11-15,0.000053,0.000056,0.000052,0.000053,0.000053,2588941477
2021-11-16,0.000054,0.000054,0.000046,0.000048,0.000048,3935874227
2021-11-17,0.000048,0.000050,0.000047,0.000048,0.000048,2389403757
2021-11-18,0.000048,0.000049,0.000041,0.000042,0.000042,3495863723
2021-11-19,0.000043,0.000052,0.000042,0.000049,0.000049,4244014798
2021-11-20,0.000049,0.000050,0.000046,0.000048,0.000048,2406332845
2021-11-21,0.000048,0.000048,0.000044,0.000044,0.000044,1636858723
2021-11-22,0.000044,0.000046,0.000043,0.000043,0.000043,1806619697
2021-11-23,0.000043,0.000045,0.000041,0.000042,0.000042,1893597811
2021-11-24,0.000042,0.000043,0.000036,0.000040,0.000040,2027746049
2021-11-25,0.000038,0.000048,0.000038,0.000040,0.000040,4151282645
2021-11-26,0.000043,0.000043,0.000036,0.000038,0.000038,3770758761
2021-11-27,0.000039,0.000042,0.000038,0.000039,0.000039,2068580738
2021-11-28,0.000039,0.000040,0.000037,0.000039,0.000039,1902056544
2021-11-29,0.000039,0.000046,0.000039,0.000046,0.000046,3667758287
2021-11-30,0.000045,0.000054,0.000043,0.000047,0.000047,9568498541
2021-12-01,0.000047,0.000049,0.000044,0.000044,0.000044,3482541861
2021-12-02,0.000044,0.000044,0.000041,0.000042,0.000042,2042872233
2021-12-03,0.000042,0.000045,0.000040,0.000040,0.000040,2740977676
2021-12-04,0.000041,0.000041,0.000030,0.000037,0.000037,3873494147
2021-12-05,0.000036,0.000038,0.000034,0.000036,0.000036,2307804650
2021-12-06,0.000036,0.000038,0.000033,0.000037,0.000037,2321209665
2021-12-07,0.000037,0.000039,0.000036,0.000036,0.000036,1844522891
2021-12-08,0.000036,0.000038,0.000036,0.000037,0.000037,1257581860
2021-12-09,0.000037,0.000037,0.000034,0.000035,0.000035,1123882103
2021-12-10,0.000035,0.000036,0.000033,0.000034,0.000034,1033903140
2021-12-11,0.000034,0.000035,0.000033,0.000034,0.000034,940194089
2021-12-12,0.000034,0.000038,0.000034,0.000037,0.000037,1460048877
2021-12-13,0.000037,0.000037,0.000032,0.000033,0.000033,1464806802
2021-12-14,0.000033,0.000036,0.000033,0.000034,0.000034,1476971270
2021-12-15,0.000034,0.000034,0.000032,0.000034,0.000034,1184733848
2021-12-16,0.000034,0.000035,0.000033,0.000033,0.000033,996204378
2021-12-17,0.000033,0.000033,0.000030,0.000031,0.000031,1162002333
2021-12-18,0.000031,0.000032,0.000031,0.000031,0.000031,709723245
2021-12-19,0.000031,0.000032,0.000031,0.000031,0.000031,614447517
2021-12-20,0.000031,0.000033,0.000028,0.000031,0.000031,1811009989
2021-12-21,0.000031,0.000033,0.000031,0.000033,0.000033,1375249878
2021-12-22,0.000033,0.000038,0.000033,0.000035,0.000035,2281163530
2021-12-23,0.000035,0.000039,0.000034,0.000039,0.000039,2040585378
2021-12-24,0.000039,0.000040,0.000036,0.000036,0.000036,2060282601
2021-12-25,0.000036,0.000038,0.000036,0.000038,0.000038,1127932936
2021-12-26,0.000038,0.000039,0.000037,0.000038,0.000038,1212604991
2021-12-27,0.000038,0.000039,0.000038,0.000039,0.000039,1265319187
2021-12-28,0.000039,0.000039,0.000034,0.000035,0.000035,1817436004
2021-12-29,0.000035,0.000036,0.000033,0.000034,0.000034,1210252540
2021-12-30,0.000034,0.000034,0.000033,0.000034,0.000034,989363049
2021-12-31,0.000034,0.000035,0.000033,0.000033,0.000033,934738093
2022-01-01,0.000033,0.000034,0.000033,0.000034,0.000034,608789558
2022-01-02,0.000034,0.000034,0.000034,0.000034,0.000034,574109134
2022-01-03,0.000034,0.000034,0.000032,0.000033,0.000033,720676202
2022-01-04,0.000033,0.000033,0.000032,0.000032,0.000032,717218977
2022-01-05,0.000032,0.000033,0.000029,0.000030,0.000030,1138566779
2022-01-06,0.000030,0.000032,0.000029,0.000031,0.000031,1172523092
2022-01-07,0.000031,0.000031,0.000029,0.000029,0.000029,1169467775
2022-01-08,0.000029,0.000030,0.000027,0.000028,0.000028,1081101278
2022-01-09,0.000028,0.000029,0.000028,0.000028,0.000028,741130328
2022-01-10,0.000028,0.000029,0.000026,0.000027,0.000027,1044022667
2022-01-11,0.000027,0.000028,0.000026,0.000028,0.000028,856528185
2022-01-12,0.000028,0.000032,0.000028,0.000032,0.000032,1541810685
2022-01-13,0.000032,0.000033,0.000029,0.000030,0.000030,1435576624
2022-01-14,0.000030,0.000032,0.000029,0.000031,0.000031,1538750911
2022-01-15,0.000031,0.000031,0.000031,0.000031,0.000031,697319385
2022-01-16,0.000031,0.000031,0.000030,0.000031,0.000031,613620998
2022-01-17,0.000031,0.000031,0.000028,0.000029,0.000029,758868918
2022-01-18,0.000029,0.000029,0.000028,0.000028,0.000028,817784966
2022-01-19,0.000028,0.000028,0.000027,0.000027,0.000027,644592746
2022-01-20,0.000027,0.000029,0.000026,0.000026,0.000026,380410746
2022-01-21,0.000026,0.000027,0.000022,0.000022,0.000022,1422249920
2022-01-22,0.000022,0.000022,0.000017,0.000021,0.000021,2140529993
2022-01-23,0.000021,0.000024,0.000021,0.000022,0.000022,1957464251
2022-01-24,0.000022,0.000023,0.000019,0.000021,0.000021,1924476636
2022-01-25,0.000021,0.000022,0.000020,0.000021,0.000021,1047337942
2022-01-26,0.000021,0.000023,0.000021,0.000021,0.000021,1155008423
2022-01-27,0.000021,0.000022,0.000020,0.000021,0.000021,890469542
2022-01-28,0.000021,0.000021,0.000020,0.000021,0.000021,538455794
2022-01-29,0.000021,0.000022,0.000021,0.000022,0.000022,551033703
2022-01-30,0.000022,0.000022,0.000021,0.000021,0.000021,488342024
2022-01-31,0.000021,0.000022,0.000020,0.000021,0.000021,531285879
